slug,title,related-cdmid,related-objectid,image_small,image_thumb,identifier,sources,dates,date,date_notes,standing,standing_notes,history,name_history,use_history,additions,architect,description,latitude,longitude,location_description,cost,cost_notes,timeline-text
artandarchitecturebuilding,Art and Architecture Building,251,campus00096,https://objects.lib.uidaho.edu/campus/small/campus00096_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00096_th.jpg,107-6,"Cards, UG 44, Morton, UG 12 (2315)",1906-,1906,,Standing Building,,,Metallurgical Building; Mines Building; Psychology Building; Art and Architecture,"Originally a metallurgical laboratory used for student work and metallurgical research. Became Mines building in 1950. Ca. 1961 became Psychology Building housing classrooms, offices and laboratories. Art &amp; Architecture ca. 2001",Renovated and completely remodelled by adding three floors to the center of the building in 1949-1950; Elevator tower added 1998,Unknown,"Wood frame with red pressed brick veneer walls, three stories, gable roof with cedar shingles. 84' x 96'. Originally built as a large scale concentrator",46.727408,-117.011371,Pine near University Ave.,"$138,168","$16,000 originally; $122,168 for renovation (state appropriation)","<strong>Dates:</strong> 1906-<br /><strong>Cost:</strong> $138,168<br /><strong>Architect: </strong> Unknown"
artandarchitectureeast,Art and Architecture East,3131,campus03106,https://objects.lib.uidaho.edu/campus/small/campus03106_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03106_th.jpg,3131,Facilities Architecture Drawing Archives,2000-,2000,,Standing Building,,,,,,Renovated for classrooms by UI Department of Buildings and Grounds,Former Carpet Mill building,46.727132,-117.00395,College Avenue 327 College Ave,,,<strong>Dates:</strong> 2000-<br /><br /><strong>Architect: </strong> Renovated for classrooms by UI Department of Buildings and Grounds
artandarchitectureinteriordesign,Art and Architecture Interior Design,1863,campus02786,https://objects.lib.uidaho.edu/campus/small/campus02786_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02786_th.jpg,81-1,"Cards, Morton, MG 70",1942-,1942,,Standing Building,,,"Navy Building #2, 1942-1945; Faculty Club, 1945-1971; Satellite Sub, 1971-2000; Art &amp; Architecture Annex","Originally Navy Building #2, Became Faculty Club in 1945, food service; College of Art &amp; Architecture, Interior Design Dept in 2000-",,Unkown,"One story and basement, wood frame and siding, 52' x 32'",46.727676,-117.01146,Idaho Ave. and Pine Street,,,<strong>Dates:</strong> 1942-<br /><br /><strong>Architect: </strong> Unkown
artandarchitecturenorth,Art and Architecture North,660,campus00494,https://objects.lib.uidaho.edu/campus/small/campus00494_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00494_th.jpg,143-1,"PG1, VF",1965-,1965,Occupied 1966,Standing Building,,,"Originally named Art and Architecture Building. ""North"" was added when the old gym was remodeled in 1976 and named Art and Architecture South","Art and Architecture administrative offices; computer lab; studios, faculty offices",,"Hummell, Hummell, Jones &amp; Shawver (Boise)","Red brick, 4 floors, front is glass.",46.726705,-117.012694,S.W. corner University Avenue and Line Street 951 University Ave,"$475,000",,"<strong>Dates:</strong> 1965-<br /><strong>Cost:</strong> $475,000<br /><strong>Architect: </strong> Hummell, Hummell, Jones & Shawver (Boise)"
artandarchitecturesouth,Art and Architecture South,805,campus00633,https://objects.lib.uidaho.edu/campus/small/campus00633_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00633_th.jpg,167-10,"UG 44, Morton, Petersen",1904-,1904,,Standing Building,,"Built to replace <a href=""/digital/campus/buildings/armoryold.html"">its rickety wooden predecessor</a>, what is now known as Art and Architecture South served as the gymnasium and armory for the UI campus until 1928. After the <a href=""/digital/campus/buildings/memorialgymnasium.html"">Memorial Gymnasium</a> was built in 1928, the Art and Architecture South building served as the Women's Gym until the early 1970's and the advent of Title IX. The building was then remolded to serve as studios and office space for College of Art and Architecture faculty and students. In 1983, the building was added to the National Register of Historic Places.","Gymnasium, Women's Gymnasium, Art and Architecture South",Originally constructed as the university's second gymnasium and armory; became the Women's gym when Memorial Gym was completed in 1928. Remodeled for art and architecture studios and classrooms in 1976. Listed on National Register of Historic Places,,J.E. Tourtellotte (Boise),"Granite foundation, red brick facing, basement and two floors, gable roof; 64' x 129'",46.726415,-117.01234,"Line Street, N.W. of Administration Building. 951 Campus Dr","$26,000",,"<strong>Dates:</strong> 1904-<br /><strong>Cost:</strong> $26,000<br /><strong>Architect: </strong> J.E. Tourtellotte (Boise)"
artbuilding,Art Building,1745,campus02672,https://objects.lib.uidaho.edu/campus/small/campus02672_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02672_th.jpg,68-3,"Cards, UG 44",1911-1965,1911,,,Torn down in 1965 and replaced by Art and Architecture North,,Lewis Court; Art Building,"Formerly known as Lewis Court, built as annex to the Women's Gym (then Men's gym) and used for winter military drill and recreation. Was men's dormitory during 1937-1938. Became Art and Architecture building in 1938",Renovated in 1945,Unkown,"Wood frame, one story, 60' x 80' with cinder floor",46.726415,-117.01234,West side of quadrangle (SW corner of Line and University Ave.),,Built by private subscription,<strong>Dates:</strong> 1911-1965<br /><br /><strong>Architect: </strong> Unkown
bartleycottage,Bartley Cottage,338,campus00168,https://objects.lib.uidaho.edu/campus/small/campus00168_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00168_th.jpg,116-1,Cards,1921-1952,1921,,,Torn down in 1952,,,Acquired in 1921 and used as a girl's dormitory until 1929 when it became a music studio.,,Unknown,"Two story, wooden frame and siding, gable roof, wood shingles",46.724144,-117.009574,SW of Ridenbaugh Hall on Nez Perce west of Center Cottage,,,<strong>Dates:</strong> 1921-1952<br /><br /><strong>Architect: </strong> Unknown
blakehouse,Blake House,525,campus00359,https://objects.lib.uidaho.edu/campus/small/campus00359_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00359_th.jpg,124-5,"Cards, Morton, UG 12 (2320)",1952-,1952,,Standing Building,,"Originally, named for Mrs. Ethel Steel, Board of Regents, 1933-1946, a leader in the movement to provide cooperative dormitories at the U of I. The dormitory has moved serveral time since then.","Originally, named for Mrs. Ethel Steel, Board of Regents, 1933-1946, a leader in the movement to provide cooperative dormitories at the U of I. The dormitory has moved serveral time since then.",Cooperative dormitory for 58 girls; replaced Ridenbaugh Hall as a residence,,"Hugh Richardson (Lewiston); General contractor, Commercial Builders (Moscow)","Wood frame with brick ornament, flat roof; basement and three floors, 11,116 sq. feet",46.724674,-117.00807,Blake Street,"150,000","$150,000 (Bonds)","<strong>Dates:</strong> 1952-<br /><strong>Cost:</strong> $150,000<br /><strong>Architect: </strong> Hugh Richardson (Lewiston); General contractor, Commercial Builders (Moscow)"
bookstore,Bookstore,596,campus00434,https://objects.lib.uidaho.edu/campus/small/campus00434_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00434_th.jpg,135-3,"Morton, Register (1:28), Argonaut",1988-,1988,Occupied 1989,Standing Building,,,,Academic and general book supply and clothing sales; campus station of U.S. Post Office,,Moritz Kundig of Northwest Architectural Co. (Spokane),"Gray concrete masonry, one story; 15,000 sq. ft.",46.728507,-117.006675,Deakin Avenue across from SUB 706/704 Deakin Ave,"$1,250,000",,"<strong>Dates:</strong> 1988-<br /><strong>Cost:</strong> $1,250,000<br /><strong>Architect: </strong> Moritz Kundig of Northwest Architectural Co. (Spokane)"
brinkandphinneyhalls,Brink and Phinney Halls,1839,campus02764,https://objects.lib.uidaho.edu/campus/small/campus02764_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02764_th.jpg,76-9,"Cards, Morton, UG 12 (2325)",1936-,1936,Brink 1936- ; Phinney 1938-,Standing Building,,,"Willis Sweet Hall named after one of the UI's founders and member of the Board of Regents, 1889-1893; later called Faculty Office Complex East. Renamed Carol Ryrie Brink Hall in the early 1980s in honor of UI alumna and prominent author. Chrisman Hall, named after General Edward Chrisman. Later referred to as Faculty Office Complex West. Renamed Archie Phinney Hall in early 1980s","Brink: Originally a men's dorm housing 200. Currently houses placement center; math/statistics/English departments, miscellaneous faculty and grad offices. Phinney: Men's dormitory, later Sociology-Anthropology museum and department offices; misc. faculty offices",Elevator towers added to both in 1999,"Whitehouse, Price (Spokane); Richardson, Hugh (Lewiston)","Brink: Reinforced concrete, red fireproof brick, trimmed with Boise Sandstone. Gable roof, composition shingles, five floors, front 178' long, wings 81' and 129' long respectively, each wing about 29' wide. Phinney: Four floors and basement, reinforced concrete and brick, gable roof, wood shingles, each wing about 98' x 30'",46.728165,-117.012844,Line Street and Idaho Avenue 801 &amp; 701 S. Line St,"$388,130","$250,000 (Regents bonds); $138,130 (local bonds)","<strong>Dates:</strong> 1936-<br /><strong>Cost:</strong> $388,130<br /><strong>Architect: </strong> Whitehouse, Price (Spokane); Richardson, Hugh (Lewiston)"
buchananengineeringlaboratory,Buchanan Engineering Laboratory,603,campus00441,https://objects.lib.uidaho.edu/campus/small/campus00441_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00441_th.jpg,137-4,"Morton, Argonaut",1967-,1967,Occupied 1968,Standing Building,,,"Named for Jesse E. Buchanan, UI alumnus, faculty and President from 1946-1954","Engineering classrooms, teaching and research labs; faculty and grad offices",,Dropping &amp; Kelley (Boise),"3 story, reinforced concrete; 80,000 sq. ft.",46.729487,-117.010886,6th Street 607 Urquhart Ave,"$2,118,259",,"<strong>Dates:</strong> 1967-<br /><strong>Cost:</strong> $2,118,259<br /><strong>Architect: </strong> Dropping & Kelley (Boise)"
campuschristiancenter,Campus Christian Center,3137,campus03112,https://objects.lib.uidaho.edu/campus/small/campus03112_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03112_th.jpg,3137,,Date Unknown,,,,,,,,,Unknown,,46.727126,-117.007889,822 Elm Street,,,
campusclub1938-1958,Campus Club (1938-1958),1878,campus02698,https://objects.lib.uidaho.edu/campus/small/campus02698_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02698_th.jpg,72-9,Cards,1938-1958,1938,,,"Burned May 14, 1958",,,Men's dormitory,,Unknown,"Wooden frame, siding and shingles, one story, gable roof.",46.728785,-117.012552,Sixth Street,"$42,000","$42,000 (Bonds)","<strong>Dates:</strong> 1938-1958<br /><strong>Cost:</strong> $42,000<br /><strong>Architect: </strong> Unknown"
campuslandmarks,Campus Landmarks,144,campus03064,https://objects.lib.uidaho.edu/campus/small/campus03064_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03064_th.jpg,99-2,PG 1,,1913,,,,,,,,,,46.726041,-117.009338,NE corner of Railroad and Sweet,,,Landmarks from 1913 to the present ...
campuslandscapes,Campus Landscapes,1150,campus01998,https://objects.lib.uidaho.edu/campus/small/campus01998_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus01998_th.jpg,3-038,PG 1,,1892,,,,,,,,"Olmstead Brothers, among many others",,46.725648,-117.010979,Moscow. Idaho,,,Landscapes from 1892 to the present ...
cedarhall,Cedar Hall,337,campus00166,https://objects.lib.uidaho.edu/campus/small/campus00166_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00166_th.jpg,114-1,"Cards, Argonaut",1920-1957,1920,,,Torn down December 1957 due to poor condition,,,"Infirmary, Phi Delta fraternity house, men's living group, music recital hall",,Unknown,"Two floors and basement, wood frame, siding and shingles, gable roof",46.727126,-117.007889,SE corner of Ash and Idaho Ave.,,,<strong>Dates:</strong> 1920-1957<br /><br /><strong>Architect: </strong> Unknown
centercottage,Center Cottage,1748,campus02673,https://objects.lib.uidaho.edu/campus/small/campus02673_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02673_th.jpg,96-1,Cards,1921-1952,1921,,,Torn down in 1952,,,"Home of local sorority Omega Alpha, February 1926 - ?; Housed students at first; later used for music studio",,Unknown,,46.723945,-117.008714,SW corner of Blake and Nez Perce,,,<strong>Dates:</strong> 1921-1952<br /><br /><strong>Architect: </strong> Unknown
commons,Commons,3103,campus03079,https://objects.lib.uidaho.edu/campus/small/campus03079_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03079_th.jpg,3103,"Register, PG1",2000-,2000,,Standing Building,,,,"Originally that Campus Classroom Center, it now houses the ASUI Student Government, Student Organizations, Classrooms,Computer Lab,Retail Outlets, Foodcourt, and Copy center. In 2005, The Teaching and Learning Center was built and attached to its west side.",,Yost Grube Architects and Design West Architects (Pullman),78.000 Squar-foot Facility,46.727494,-117.012476,Idaho Avenue &amp; Line Street 875 S. Line St,"$19,000,000",$19 Million,"<strong>Dates:</strong> 2000-<br /><strong>Cost:</strong> $19,000,000<br /><strong>Architect: </strong> Yost Grube Architects and Design West Architects (Pullman)"
craigcottage,Craig Cottage,3136,campus03111,https://objects.lib.uidaho.edu/campus/small/campus03111_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03111_th.jpg,3136,Cards,1930-1951,1930,,,Sold and moved in 1951,,,"Acquired in 1930, served for many years as stenographic center and infirmary quarters. Later used as office space for Ag. Economics.",,Unknown,"One story, frame building",46.727814,-117.009558,Sixth Street between Urquhart and Line; in 1942 it was moved to a position east of Entomology Building (Line &amp; 7th St.) to make room for Kirtley #1.,,,<strong>Dates:</strong> 1930-1951<br /><br /><strong>Architect: </strong> Unknown
crestcottage,Crest Cottage,3132,campus03107,https://objects.lib.uidaho.edu/campus/small/campus03107_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus03107_th.jpg,3132,"Cards, Maps",1922-195?,1922,,,,,,Acquired in 1922; formerly old Phi Delt house; in 1923 Chi Beta Epsilon sorority house. Part of old infirmary in 1927; also part of Triangle Club.,,Unknown,,46.727814,-117.009558,Idaho and Ash,,,<strong>Dates:</strong> 1922-195?<br /><br /><strong>Architect: </strong> Unknown
dairysciencebuilding,Dairy Science Building,382,campus00108,https://objects.lib.uidaho.edu/campus/small/campus00108_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00108_th.jpg,109-6,"Cards, UG 44, Morton",1918-1998,1918,,,,,"Dairy Building, 1918-1945; Agronomy Building, 1945-1951; Communications Building, 1951-",Originally built as Dairy Science Building; converted to Agronomy building in 1945. Became Communication Building when Agriculture Science was completed in 1951; demolished 1998 for Idaho Commons,"Interior completely rebuilt in 1947 52,591 square feet",Unknown,"Brick, basement and two stories, flat roof",46.727716,-117.01204,SW corner of Line Street and Idaho Avenue,"$60,611","$60,611 (State appropriation)","<strong>Dates:</strong> 1918-1998<br /><strong>Cost:</strong> $60,611<br /><strong>Architect: </strong> Unknown"
danobrientrackandfieldcomplex,Dan O'Brien Track and Field Complex,901,campus00726,https://objects.lib.uidaho.edu/campus/small/campus00726_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00726_th.jpg,168-1,Facilities Architecture Drawing Archives,197?-,1974,,Standing Building,,,,,,"Cornell, Howland, Hayes, and Merryfield (Corvallis)",,46.726324,-117.020614,West of Kibbie Dome,,,"<strong>Dates:</strong> 197?-<br /><br /><strong>Architect: </strong> Cornell, Howland, Hayes, and Merryfield (Corvallis)"
