title,description,subject,date,source,format,language,type,rights,rightsstatement,cdm_url,cdmid,objectid,reference_url,display_template,filename,object_location,image_small,image_thumb,errors
The Idaho Forester - 1929 (Vol. 11),,foresters; forestry; logging; measuring devices,1929,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/694,694,forester694,http://localhost:4000/digital/forester/items/.html,pdf,forester694.pdf,https://objects.lib.uidaho.edu/forester/forester694.pdf,https://objects.lib.uidaho.edu/forester/small/forester694_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester694_th.jpg,
The Idaho Forester - 1931 (Vol. 13),,Abies; bark; forest fire management; foresters; forestry; measuring devices; Pinus; Pinus ponderosa; range management; wood chemistry,1931,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/832,832,forester832,http://localhost:4000/digital/forester/items/.html,pdf,forester832.pdf,https://objects.lib.uidaho.edu/forester/forester832.pdf,https://objects.lib.uidaho.edu/forester/small/forester832_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester832_th.jpg,
The Idaho Forester - 1932 (Vol. 14),,blister rust; foresters; Pinus; rangelands,1932,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/903,903,forester903,http://localhost:4000/digital/forester/items/.html,pdf,forester903.pdf,https://objects.lib.uidaho.edu/forester/forester903.pdf,https://objects.lib.uidaho.edu/forester/small/forester903_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester903_th.jpg,
The Idaho Forester - 1933 (Vol. 15),,chemistry; experimental forests; foresters; game animals; irrigation; national forests; tribal lands,1933,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/970,970,forester970,http://localhost:4000/digital/forester/items/.html,pdf,forester970.pdf,https://objects.lib.uidaho.edu/forester/forester970.pdf,https://objects.lib.uidaho.edu/forester/small/forester970_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester970_th.jpg,
The Idaho Forester - 1934 (Vol. 16),,blister rust; experimental forests; forestry; forest fires; game animals,1934,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1037,1037,forester1037,http://localhost:4000/digital/forester/items/.html,pdf,forester1037.pdf,https://objects.lib.uidaho.edu/forester/forester1037.pdf,https://objects.lib.uidaho.edu/forester/small/forester1037_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1037_th.jpg,
The Idaho Forester - 1935 (Vol. 17),,erosion control; forest fire management; foresters; logging; National Park Service,1935,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1104,1104,forester1104,http://localhost:4000/digital/forester/items/.html,pdf,forester1104.pdf,https://objects.lib.uidaho.edu/forester/forester1104.pdf,https://objects.lib.uidaho.edu/forester/small/forester1104_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1104_th.jpg,
The Idaho Forester - 1936 (Vol. 18),,employment opportunities; forestry; land use; range management,1936,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1163,1163,forester1163,http://localhost:4000/digital/forester/items/.html,pdf,forester1163.pdf,https://objects.lib.uidaho.edu/forester/forester1163.pdf,https://objects.lib.uidaho.edu/forester/small/forester1163_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1163_th.jpg,
The Idaho Forester - 1937 (Vol. 19),,foresters; logging; range management,1937,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1222,1222,forester1222,http://localhost:4000/digital/forester/items/.html,pdf,forester1222.pdf,https://objects.lib.uidaho.edu/forester/forester1222.pdf,https://objects.lib.uidaho.edu/forester/small/forester1222_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1222_th.jpg,
The Idaho Forester - 1938 (Vol. 20),,forest management; forest yields; land use; Pinus,1938,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1293,1293,forester1293,http://localhost:4000/digital/forester/items/.html,pdf,forester1293.pdf,https://objects.lib.uidaho.edu/forester/forester1293.pdf,https://objects.lib.uidaho.edu/forester/small/forester1293_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1293_th.jpg,
The Idaho Forester - 1939 (Vol. 21),,erosion control; grazing; land policy; National Park Service; natural resources conservation; range management; USDA Forest Service; wood chemistry,1939,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1360,1360,forester1360,http://localhost:4000/digital/forester/items/.html,pdf,forester1360.pdf,https://objects.lib.uidaho.edu/forester/forester1360.pdf,https://objects.lib.uidaho.edu/forester/small/forester1360_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1360_th.jpg,
The Idaho Forester - 1940 (Vol. 22),,forest yields; forestry; game animals; labor economics; land restoration,1940,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1443,1443,forester1443,http://localhost:4000/digital/forester/items/.html,pdf,forester1443.pdf,https://objects.lib.uidaho.edu/forester/forester1443.pdf,https://objects.lib.uidaho.edu/forester/small/forester1443_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1443_th.jpg,
The Idaho Forester - 1941 (Vol. 23),,arboreta; blister rust; Pinus; range management; sheep,1941,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1510,1510,forester1510,http://localhost:4000/digital/forester/items/.html,pdf,forester1510.pdf,https://objects.lib.uidaho.edu/forester/forester1510.pdf,https://objects.lib.uidaho.edu/forester/small/forester1510_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1510_th.jpg,
The Idaho Forester - 1942 (Vol. 24),,forest policy; forestry; national forests; range management; sheep; wood processing,1942,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1565,1565,forester1565,http://localhost:4000/digital/forester/items/.html,pdf,forester1565.pdf,https://objects.lib.uidaho.edu/forester/forester1565.pdf,https://objects.lib.uidaho.edu/forester/small/forester1565_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1565_th.jpg,
The Idaho Forester - 1943 (Vol. 25),,foresters; forestry,1943,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1604,1604,forester1604,http://localhost:4000/digital/forester/items/.html,pdf,forester1604.pdf,https://objects.lib.uidaho.edu/forester/forester1604.pdf,https://objects.lib.uidaho.edu/forester/small/forester1604_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1604_th.jpg,
The Idaho Forester - 1944 (Vol. 26),,England; forest thinning; forestry; parks,1944,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1647,1647,forester1647,http://localhost:4000/digital/forester/items/.html,pdf,forester1647.pdf,https://objects.lib.uidaho.edu/forester/forester1647.pdf,https://objects.lib.uidaho.edu/forester/small/forester1647_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1647_th.jpg,
The Idaho Forester - 1945 (Vol. 27),,forestry; Solomon Islands,1945,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1698,1698,forester1698,http://localhost:4000/digital/forester/items/.html,pdf,forester1698.pdf,https://objects.lib.uidaho.edu/forester/forester1698.pdf,https://objects.lib.uidaho.edu/forester/small/forester1698_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1698_th.jpg,
The Idaho Forester - 1946 (Vol. 28),,foresters; forestry,1946,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1749,1749,forester1749,http://localhost:4000/digital/forester/items/.html,pdf,forester1749.pdf,https://objects.lib.uidaho.edu/forester/forester1749.pdf,https://objects.lib.uidaho.edu/forester/small/forester1749_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1749_th.jpg,
The Idaho Forester - 1947 (Vol. 29),,foresters,1947,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1820,1820,forester1820,http://localhost:4000/digital/forester/items/.html,pdf,forester1820.pdf,https://objects.lib.uidaho.edu/forester/forester1820.pdf,https://objects.lib.uidaho.edu/forester/small/forester1820_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1820_th.jpg,
The Idaho Forester - 1948 (Vol. 30),,forest-wildlife relations; forest growth; foresters; Pinus monticola; sap,1948,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1879,1879,forester1879,http://localhost:4000/digital/forester/items/.html,pdf,forester1879.pdf,https://objects.lib.uidaho.edu/forester/forester1879.pdf,https://objects.lib.uidaho.edu/forester/small/forester1879_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1879_th.jpg,
The Idaho Forester - 1949 (Vol. 31),,forestry; Germany; Pinus; range management,1949,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1938,1938,forester1938,http://localhost:4000/digital/forester/items/.html,pdf,forester1938.pdf,https://objects.lib.uidaho.edu/forester/forester1938.pdf,https://objects.lib.uidaho.edu/forester/small/forester1938_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester1938_th.jpg,
The Idaho Forester - 1950 (Vol. 32),,foresters,1950,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2025,2025,forester2025,http://localhost:4000/digital/forester/items/.html,pdf,forester2025.pdf,https://objects.lib.uidaho.edu/forester/forester2025.pdf,https://objects.lib.uidaho.edu/forester/small/forester2025_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2025_th.jpg,
The Idaho Forester - 1951 (Vol. 33),,Europe; foresters; Halogeton; logging; Pinus; slash; wildlife,1951,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2096,2096,forester2096,http://localhost:4000/digital/forester/items/.html,pdf,forester2096.pdf,https://objects.lib.uidaho.edu/forester/forester2096.pdf,https://objects.lib.uidaho.edu/forester/small/forester2096_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2096_th.jpg,
The Idaho Forester - 1952 (Vol. 34),,forest trees; foresters; horticulture; pulp and paper industry; radionuclides,1952,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2179,2179,forester2179,http://localhost:4000/digital/forester/items/.html,pdf,forester2179.pdf,https://objects.lib.uidaho.edu/forester/forester2179.pdf,https://objects.lib.uidaho.edu/forester/small/forester2179_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2179_th.jpg,
The Idaho Forester - 1953 (Vol. 35),,Dendroctonus; forest nurseries; foresters,1953,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2258,2258,forester2258,http://localhost:4000/digital/forester/items/.html,pdf,forester2258.pdf,https://objects.lib.uidaho.edu/forester/forester2258.pdf,https://objects.lib.uidaho.edu/forester/small/forester2258_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2258_th.jpg,
