objectid,title,date,archival_date,president,commencement_address,guest_speakers,location,latitude,longitude,source,identifier,type,format,format_original,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb,cdmid
commencement011,Commencement University of Idaho,1908-06-10,10 June 1908,"MacLean, James Alexander","Aishie, James F.",,,,,University of Idaho Library Special Collections and Archives,commencement-jun1908,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1908.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1908.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1908_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1908_sm.jpg,1105
commencement012,Commencement University of Idaho,1909-06-09,09 June 1909,"MacLean, James Alexander","French, Burton L.",,,,,University of Idaho Library Special Collections and Archives,uicommencement-1909-06-09,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1909-06-09.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1909-06-09.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1909-06-09_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1909-06-09_sm.jpg,1054
commencement013,Commencement University of Idaho,1910-06-15,15 June 1910,"MacLean, James Alexander","Dietrich, Frank S.",,,,,University of Idaho Library Special Collections and Archives,uicommencement-1910-06-15,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1910-06-15.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1910-06-15.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1910-06-15_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1910-06-15_sm.jpg,1180
commencement014,Commencement University of Idaho,1911-06-14,14 June 1911,"MacLean, James Alexander","Hawley, James H.",,,,,University of Idaho Library Special Collections and Archives,uicommencement-1911-06-14,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1911-06-14.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1911-06-14.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1911-06-14_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1911-06-14_sm.jpg,1110
commencement015,Commencement University of Idaho,1912-06-12,12 June 1912,"MacLean, James Alexander","Post, Frank T.",,,,,University of Idaho Library Special Collections and Archives,commencement-jun1912,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1912.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1912.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1912_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1912_sm.jpg,1126
commencement016,University of Idaho Commencement,1913-06-11,11 June 1913,"Carlyle, William Levi","Shepardson, Francis W.",,,,,University of Idaho Library Special Collections and Archives,commencement-jun1913,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1913.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1913.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1913_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1913_sm.jpg,1099
commencement017,University of Idaho Commencement,1914-06-10,10 June 1914,"Brannon, Melvin Amos","Sisson, Edward Octavius",,,,,University of Idaho Library Special Collections and Archives,commencement-jun1914,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1914.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1914.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1914_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1914_sm.jpg,1083
commencement018,University of Idaho Commencement,1915-06-09,09 June 1915,"Brannon, Melvin Amos","Foster, William Trufant",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1915,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1915.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1915.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1915_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1915_sm.jpg,1198
commencement019,University of Idaho Commencement,1916-06-07,07 June 1916,"Brannon, Melvin Amos","Wilbur, Ray Lyman",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1916,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1916.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1916.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1916_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1916_sm.jpg,1199
commencement020,University of Idaho Twenty-Second Annual Commencement,1917-06-08,08 June 1917,"Brannon, Melvin Amos","Briggs, LeBarron Russell",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1917,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1917.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1917.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1917_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1917_sm.jpg,1160
commencement021,University of Idaho Twenty-Third Annual Commencement,1918-06-05,05 June 1918,"Lindley, Ernest Hiram","White, William Allen",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1918,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1918.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1918.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1918_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1918_sm.jpg,1111
commencement022,University of Idaho Twenty-Fourth Annual Commencement,1919-06-11,11 June 1919,"Lindley, Ernest Hiram","Reinhardt, Aurelia Henry",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1919,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1919.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1919.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1919_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1919_sm.jpg,1067
commencement023,University of Idaho Twenty Fifth Annual Commencement,1920-06-09,09 June 1920,"Lindley, Ernest Hiram","Coulter, John Merle",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1920,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-jun1920.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-jun1920.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1920_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-jun1920_sm.jpg,1191
commencement024,University of Idaho Twenty-sixth Annual Commencement,1921-06-08,08 June 1921,"Upham, Alfred Horatio","Bryan, Enoch A.",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1921-06-08,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1921-06-08.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1921-06-08.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1921-06-08_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1921-06-08_sm.jpg,1084
commencement025,University of Idaho Twenty-Seventh Annual Commencement,1922-06-07,07 June 1922,"Upham, Alfred Horatio","Ward, Henry Baldwin",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1922-06-07,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1922-06-07.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1922-06-07.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1922-06-07_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1922-06-07_sm.jpg,1134
commencement026,The University of Idaho Twenty-Eighth Annual Commencement,1923-06-11,11 June 1923,"Upham, Alfred Horatio","Meany, Edmond Stephen","Moore, Hon. C.C.; Rockwell, Hon. Irvin E.",University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-1923,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-1923.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-1923.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1923_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1923_sm.jpg,1094
commencement027,The University of Idaho Twenty-Ninth Annual Commencement,1924-06-02,02 June 1924,"Upham, Alfred Horatio","MacLean, James Alexander",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-1924,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-1924.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-1924.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1924_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1924_sm.jpg,1101
commencement028,The University of Idaho Thirtieth Annual Commencement,1925-06-01,01 June 1925,"Upham, Alfred Horatio","Suzzallo, Henry",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-1925,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-1925.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-1925.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1925_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1925_sm.jpg,1081
commencement029,The University of Idaho Thirty-First Annual Commencement,1926-06-07,07 June 1926,"Upham, Alfred Horatio","Voorhees, Rev. Oscar M.",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-1926,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,commencement-1926.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-1926.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1926_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1926_sm.jpg,1122
commencement030,University of Idaho Thirty-Second Annual Commencement,1927-06-06,06 June 1927,"Upham, Alfred Horatio","Thwing, Charles F.",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1927-06-06,Text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,uicommencement-1927-06-06.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1927-06-06.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1927-06-06_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1927-06-06_sm.jpg,1132
commencement031,University of Idaho Thirty-Third Annual Commencement,1928-06-11,11 June 1928,"Kelly, Frederick James","Lindley, Ernest H.",,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1928-06-11,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1928-06-11.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1928-06-11.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1928-06-11_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1928-06-11_sm.jpg,1066
commencement032,University of Idaho Thirty-Fourth Annual Commencement,1929-06-10,10 June 1929,"Kelly, Frederick James","Spencer, M. Lyle",,Memorial Armory-Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1929-06-10,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1929-06-10.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1929-06-10.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1929-06-10_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1929-06-10_sm.jpg,1069
commencement033,The University of Idaho Thirty-Fifth Annual Commencement,1930-06-09,09 June 1930,"Kelly, Frederick James","Durham, N.W.",,Memorial Armory-Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1930,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,commencement-1930.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-1930.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1930_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1930_sm.jpg,1117
commencement034,University of Idaho Thirty-Sixth Annual Commencement,1931-06-08,08 June 1931,"Neale, Mervin Gordon","Foster, William Trufant",,Memorial Armory-Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1931-06-08,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1931-06-08.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1931-06-08.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1931-06-08_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1931-06-08_sm.jpg,1080
